time,closing,moving average,signal
3/2/15 0:00,3601.26,3392.8985,
3/3/15 0:00,3507.9,3404.549833,
3/4/15 0:00,3530.82,3416.4,
3/5/15 0:00,3496.34,3425.94,
3/6/15 0:00,3478.52,3434.456167,
3/9/15 0:00,3537.75,3441.6795,
3/10/15 0:00,3520.61,3448.274833,
3/11/15 0:00,3524.65,3452.804333,
3/12/15 0:00,3592.84,3460.903167,
3/13/15 0:00,3617.66,3467.505,
3/16/15 0:00,3705.67,3476.216,
3/17/15 0:00,3757.12,3485.614167,
3/18/15 0:00,3846.05,3496.0945,
3/19/15 0:00,3839.74,3505.0335,
3/20/15 0:00,3892.57,3513.899667,
3/23/15 0:00,3972.06,3524.335167,
3/24/15 0:00,3973.05,3534.1665,
3/25/15 0:00,3940.41,3543.265333,
3/26/15 0:00,3950,3553.683333,
3/27/15 0:00,3971.7,3566.0385,
3/30/15 0:00,4088.18,3578.5845,
3/31/15 0:00,4051.2,3588.673833,
4/1/15 0:00,4123.9,3599.8145,
4/2/15 0:00,4124.78,3610.935,
4/3/15 0:00,4170.54,3621.548833,
4/7/15 0:00,4260.04,3631.857167,
4/8/15 0:00,4295.8,3642.7695,
4/9/15 0:00,4262.14,3653.075333,
4/10/15 0:00,4344.42,3666.161333,
4/13/15 0:00,4421.07,3680.733833,
4/14/15 0:00,4438.18,3696.143833,
4/15/15 0:00,4380.51,3710.585,
4/16/15 0:00,4513.55,3727.437167,
4/17/15 0:00,4596.14,3743.970833,
4/20/15 0:00,4521.92,3758.750333,
4/21/15 0:00,4619.16,3779.817,
4/22/15 0:00,4739.81,3802.210167,
4/23/15 0:00,4740.89,3822.076833,
4/24/15 0:00,4702.64,3840.994,
4/27/15 0:00,4807.59,3861.591667,
4/28/15 0:00,4741.86,3880.4895,
4/29/15 0:00,4774.33,3900.4795,
4/30/15 0:00,4749.89,3920.889,
5/4/15 0:00,4787.74,3942.654667,
5/5/15 0:00,4596.84,3962.028833,
5/6/15 0:00,4553.33,3982.018333,
5/7/15 0:00,4470.09,3999.229,
5/8/15 0:00,4558.4,4018.506167,
5/11/15 0:00,4690.53,4040.565833,
5/12/15 0:00,4747.42,4064.4825,
5/13/15 0:00,4718.44,4087.357833,
5/14/15 0:00,4700.78,4108.921833,
5/15/15 0:00,4617.47,4128.644333,
5/18/15 0:00,4575.14,4147.5155,
5/19/15 0:00,4731.22,4168.538667,
5/20/15 0:00,4754.92,4189.462667,
5/21/15 0:00,4840.98,4211.440333,
5/22/15 0:00,4951.33,4235.983667,
5/25/15 0:00,5099.5,4261.537167,
5/26/15 0:00,5198.92,4288.6385,
5/27/15 0:00,5181.43,4314.974667,
5/28/15 0:00,4834.01,4337.0765,
5/29/15 0:00,4840.83,4358.91,
6/1/15 0:00,5076.18,4385.240667,
6/2/15 0:00,5161.87,4413.2965,
6/3/15 0:00,5143.59,4440.0605,
6/4/15 0:00,5181.42,4467.740667,
6/5/15 0:00,5230.55,4496.172333,
6/8/15 0:00,5353.75,4525.520833,
6/9/15 0:00,5317.46,4553.850833,
6/10/15 0:00,5309.11,4580.574833,
6/11/15 0:00,5306.59,4606.399333,
6/12/15 0:00,5335.12,4631.217167,
6/15/15 0:00,5221.17,4654.241,
6/16/15 0:00,5064.82,4673.7785,
6/17/15 0:00,5138.83,4693.224667,
6/18/15 0:00,4930.55,4709.183,
6/19/15 0:00,4637.05,4720.793667,Sell in the next trading day
6/23/15 0:00,4786.09,4734.7285,Buy in the next trading day
6/24/15 0:00,4880.13,4749.869,
6/25/15 0:00,4706.52,4760.174667,Sell in the next trading day
6/26/15 0:00,4336.19,4764.9245,
6/29/15 0:00,4191.55,4766.052,
6/30/15 0:00,4473,4771.855667,
7/1/15 0:00,4253.02,4773.230333,
7/2/15 0:00,4108,4770.696333,
7/3/15 0:00,3885.92,4763.865,
7/6/15 0:00,3998.54,4759.471667,
7/7/15 0:00,3928,4752.531333,
7/8/15 0:00,3663.04,4739.8975,
7/9/15 0:00,3897.63,4730.888333,
7/10/15 0:00,4106.56,4726.3225,
7/13/15 0:00,4211.81,4721.2935,
7/14/15 0:00,4112.15,4713.227,
7/15/15 0:00,3966.76,4703.974333,
7/16/15 0:00,3997.36,4693.611,
7/17/15 0:00,4151.5,4683.805833,
7/20/15 0:00,4160.61,4674.1345,
7/21/15 0:00,4166.01,4665.190667,
7/22/15 0:00,4157.16,4654.350167,
7/23/15 0:00,4250.81,4646.166,
7/24/15 0:00,4176.28,4636.1985,
7/27/15 0:00,3818.73,4620.679167,
7/28/15 0:00,3811.09,4604.401667,
7/29/15 0:00,3930.38,4593.294,
7/30/15 0:00,3815.41,4580.995333,
7/31/15 0:00,3816.7,4570.1055,
8/3/15 0:00,3829.24,4557.952833,
8/4/15 0:00,3948.16,4545.58,
8/5/15 0:00,3866.9,4530.904667,
8/6/15 0:00,3831.85,4516.128167,
8/7/15 0:00,3906.95,4502.897667,
8/10/15 0:00,4084.37,4494.012667,
8/11/15 0:00,4066.67,4485.538167,
8/12/15 0:00,4016.13,4473.62,
8/13/15 0:00,4075.46,4462.295667,
8/14/15 0:00,4073.54,4449.505,
8/17/15 0:00,4077.87,4434.947333,
8/18/15 0:00,3825.41,4413.7125,
8/19/15 0:00,3886.14,4391.832833,
8/20/15 0:00,3761.45,4368.1665,
8/21/15 0:00,3589.54,4347.425333,
8/24/15 0:00,3275.53,4321.337,
8/25/15 0:00,3042.93,4287.4495,
8/26/15 0:00,3025.69,4251.8465,
8/27/15 0:00,3205.64,4219.547333,
8/28/15 0:00,3342.29,4188.895167,
8/31/15 0:00,3366.54,4157.828333,
9/1/15 0:00,3362.08,4124.633833,
9/2/15 0:00,3365.83,4092.106667,
9/7/15 0:00,3250.49,4057.796333,
9/8/15 0:00,3334.02,4024.920167,
9/9/15 0:00,3399.3,3992.6565,
9/10/15 0:00,3357.56,3961.596333,
9/11/15 0:00,3347.19,3932.969167,
9/14/15 0:00,3281.13,3902.0075,
9/15/15 0:00,3152.23,3872.368833,
9/16/15 0:00,3309.25,3850.238833,
9/17/15 0:00,3237,3824.420667,
9/18/15 0:00,3251.27,3797.273,
9/21/15 0:00,3308.25,3773.9685,
9/22/15 0:00,3339.03,3757.349167,
9/23/15 0:00,3263.03,3741.873833,
9/24/15 0:00,3285,3722.073833,
9/25/15 0:00,3231.95,3705.056,
9/28/15 0:00,3242.75,3690.635167,
9/29/15 0:00,3178.85,3678.850667,
9/30/15 0:00,3202.95,3665.590833,
10/8/15 0:00,3296.48,3655.0655,
10/9/15 0:00,3340.12,3649.6835,
10/12/15 0:00,3447.69,3642.1845,
10/13/15 0:00,3445.04,3631.159167,
10/14/15 0:00,3406.11,3617.730833,
10/15/15 0:00,3486.81,3607.3085,
10/16/15 0:00,3534.06,3600.096833,
10/19/15 0:00,3534.18,3592.377167,
10/20/15 0:00,3577.7,3582.813833,
10/21/15 0:00,3473.25,3571.357833,
10/22/15 0:00,3524.53,3560.6665,
10/23/15 0:00,3571.24,3550.901167,Buy in the next trading day
10/26/15 0:00,3589.26,3539.875333,
10/27/15 0:00,3592.88,3530.152,
10/28/15 0:00,3524.92,3525.255167,Sell in the next trading day
10/29/15 0:00,3533.31,3520.6255,Buy in the next trading day
10/30/15 0:00,3534.08,3514.0205,
11/2/15 0:00,3475.96,3508.363,Sell in the next trading day
11/3/15 0:00,3465.49,3502.5095,
11/4/15 0:00,3628.54,3499.1645,Buy in the next trading day
11/5/15 0:00,3705.97,3495.128,
11/6/15 0:00,3793.37,3493.9025,
11/9/15 0:00,3840.36,3494.044333,
11/10/15 0:00,3833.24,3492.815833,
11/11/15 0:00,3833.65,3488.637167,
11/12/15 0:00,3795.32,3484.114667,
11/13/15 0:00,3746.24,3479.6165,
11/16/15 0:00,3764.13,3474.427667,
11/17/15 0:00,3758.39,3469.175167,
11/18/15 0:00,3715.58,3463.137,
11/19/15 0:00,3774.97,3462.296333,
11/20/15 0:00,3774.38,3460.433667,
11/23/15 0:00,3753.33,3460.298333,
11/24/15 0:00,3753.89,3463.0375,
11/25/15 0:00,3781.61,3471.472167,
11/26/15 0:00,3759.43,3483.413833,
11/27/15 0:00,3556.99,3492.268833,
11/30/15 0:00,3566.41,3498.281667,
12/1/15 0:00,3591.7,3502.4385,
12/2/15 0:00,3721.96,3508.362167,
12/3/15 0:00,3749.3,3514.815833,
12/4/15 0:00,3677.59,3520.011833,
12/7/15 0:00,3687.61,3527.297167,
12/8/15 0:00,3623.02,3532.113833,
12/9/15 0:00,3635.94,3536.057833,
12/10/15 0:00,3623.08,3540.483167,
12/11/15 0:00,3608.06,3544.831,
12/14/15 0:00,3711.32,3552.000833,
12/15/15 0:00,3694.39,3561.036833,
12/16/15 0:00,3685.44,3567.306667,
12/17/15 0:00,3755.89,3575.954833,
12/18/15 0:00,3767.91,3584.5655,
12/21/15 0:00,3865.97,3593.860833,
12/22/15 0:00,3876.73,3602.8225,
12/23/15 0:00,3866.38,3612.878333,
12/24/15 0:00,3829.4,3621.951667,
12/25/15 0:00,3838.2,3632.055833,
12/28/15 0:00,3727.63,3640.137167,
12/29/15 0:00,3761.88,3649.854333,
12/30/15 0:00,3765.18,3659.224833,
12/31/15 0:00,3731,3666.466833,
1/4/16 0:00,3469.07,3668.616,Sell in the next trading day
1/5/16 0:00,3478.78,3669.134167,
1/6/16 0:00,3539.81,3670.713667,
1/7/16 0:00,3294.38,3668.8515,
1/8/16 0:00,3361.56,3666.764,
1/11/16 0:00,3192.45,3661.0705,
1/12/16 0:00,3215.71,3655.762667,
1/13/16 0:00,3155.88,3648.732333,
1/14/16 0:00,3221.57,3644.537667,
1/15/16 0:00,3118.73,3637.774333,
1/18/16 0:00,3130.73,3630.4325,
1/19/16 0:00,3223.13,3624.330333,
1/20/16 0:00,3174.38,3617.355333,
1/21/16 0:00,3081.35,3609.9625,
1/22/16 0:00,3113.46,3602.965,
1/25/16 0:00,3128.89,3596.211833,
1/26/16 0:00,2940.51,3587.287667,
1/27/16 0:00,2930.35,3578.368667,
